customerID,Cluster,SegmentLabel
7590-VHVEG,2,Yeni Yüksek Riskli Müşteri
5575-GNVDE,0,Yaslı Düşük Harcamalı Müşteri
3668-QPYBK,2,Yeni Yüksek Riskli Müşteri
7795-CFOCW,3,Genç Düşük Harcamalı Müşteri
9237-HQITU,2,Yeni Yüksek Riskli Müşteri
9305-CDSKC,2,Yeni Yüksek Riskli Müşteri
1452-KIOVK,2,Yeni Yüksek Riskli Müşteri
6713-OKOMC,3,Genç Düşük Harcamalı Müşteri
7892-POOKP,1,Yüksek Değerli Sadık Müşteri
6388-TABGU,1,Yüksek Değerli Sadık Müşteri
9763-GRSKD,3,Genç Düşük Harcamalı Müşteri
7469-LKBCI,3,Genç Düşük Harcamalı Müşteri
8091-TTVAX,1,Yüksek Değerli Sadık Müşteri
0280-XJGEX,2,Yeni Yüksek Riskli Müşteri
5129-JLPIS,2,Yeni Yüksek Riskli Müşteri
3655-SNQYZ,1,Yüksek Değerli Sadık Müşteri
8191-XWSZG,3,Genç Düşük Harcamalı Müşteri
9959-WOFKT,1,Yüksek Değerli Sadık Müşteri
4190-MFLUW,3,Genç Düşük Harcamalı Müşteri
4183-MYFRB,2,Yeni Yüksek Riskli Müşteri
8779-QRDMV,2,Yeni Yüksek Riskli Müşteri
1680-VDCWW,0,Yaslı Düşük Harcamalı Müşteri
1066-JKSGK,3,Genç Düşük Harcamalı Müşteri
3638-WEABW,1,Yüksek Değerli Sadık Müşteri
6322-HRPFA,0,Yaslı Düşük Harcamalı Müşteri
6865-JZNKO,2,Yeni Yüksek Riskli Müşteri
6467-CHFZW,1,Yüksek Değerli Sadık Müşteri
8665-UTDHZ,2,Yeni Yüksek Riskli Müşteri
5248-YGIJN,1,Yüksek Değerli Sadık Müşteri
8773-HHUOZ,3,Genç Düşük Harcamalı Müşteri
3841-NFECX,1,Yüksek Değerli Sadık Müşteri
4929-XIHVW,3,Genç Düşük Harcamalı Müşteri
6827-IEAUQ,0,Yaslı Düşük Harcamalı Müşteri
7310-EGVHZ,3,Genç Düşük Harcamalı Müşteri
3413-BMNZE,0,Yaslı Düşük Harcamalı Müşteri
6234-RAAPL,1,Yüksek Değerli Sadık Müşteri
6047-YHPVI,3,Genç Düşük Harcamalı Müşteri
6572-ADKRS,2,Yeni Yüksek Riskli Müşteri
5380-WJKOV,1,Yüksek Değerli Sadık Müşteri
8168-UQWWF,0,Yaslı Düşük Harcamalı Müşteri
8865-TNMNX,2,Yeni Yüksek Riskli Müşteri
9489-DEDVP,1,Yüksek Değerli Sadık Müşteri
9867-JCZSP,3,Genç Düşük Harcamalı Müşteri
4671-VJLCL,1,Yüksek Değerli Sadık Müşteri
4080-IIARD,3,Genç Düşük Harcamalı Müşteri
3714-NTNFO,1,Yüksek Değerli Sadık Müşteri
5948-UJZLF,0,Yaslı Düşük Harcamalı Müşteri
7760-OYPDY,0,Yaslı Düşük Harcamalı Müşteri
7639-LIAYI,1,Yüksek Değerli Sadık Müşteri
2954-PIBKO,1,Yüksek Değerli Sadık Müşteri
8012-SOUDQ,2,Yeni Yüksek Riskli Müşteri
9420-LOJKX,2,Yeni Yüksek Riskli Müşteri
6575-SUVOI,0,Yaslı Düşük Harcamalı Müşteri
7495-OOKFY,0,Yaslı Düşük Harcamalı Müşteri
4667-QONEA,1,Yüksek Değerli Sadık Müşteri
